prize,category,year,status,title,author
Booker,Fiction,2001,Nominee,The Blue Tango,Eoin McNamee
Booker,Fiction,2001,Nominee,Fairness,Ferdinand Mount
Booker,Fiction,2001,Nominee,The Leto Bundle,Marina Warner
Booker,Fiction,2001,Nominee,Translated Accounts,James Kelman
Booker,Fiction,2001,Nominee,The Dark Room,Rachel Seiffert
Booker,Fiction,2001,Nominee,The Stone Carvers,Jane Urquhart
Booker,Fiction,2001,Nominee,The Element of Water,Stevie Davies
Booker,Fiction,2001,Nominee,By the Sea,Abdulrazak Gurnah
Booker,Fiction,2001,Nominee,According to Queeney,Beryl Bainbridge
Booker,Fiction,2000,Nominee,English Passengers,Matthew Kneale
Booker,Fiction,2000,Nominee,The Hiding Place,Trezza Azzopardi
Booker,Fiction,2000,Nominee,The Keepers of Truth,Michael Collins
Booker,Fiction,2000,Nominee,The Deposition of Father McGreevy,Brian O'Doherty
Booker,Fiction,1999,Nominee,"Fasting, Feasting",Anita Desai
Booker,Fiction,1999,Nominee,Headlong,Michael Frayn
Booker,Fiction,1999,Nominee,Our Fathers,Andrew O'Hagan
Booker,Fiction,1999,Nominee,The Blackwater Lightship,Colm Tóibín
Booker,Fiction,1999,Nominee,The Map of Love,Ahdaf Soueif
Booker,Fiction,1998,Nominee,The Industry of Souls,Martin Booth
Booker,Fiction,1997,Nominee,Grace Notes,Bernard MacLaverty
Booker,Fiction,1997,Nominee,Europa,Tim Parks
Booker,Fiction,1997,Nominee,The Underground Man,Mick Jackson
Booker,Fiction,1997,Nominee,The Essence of the Thing,Madeleine St John
Booker,Fiction,1996,Nominee,A Fine Balance,Rohinton Mistry
Booker,Fiction,1996,Nominee,Every Man for Himself,Beryl Bainbridge
Booker,Fiction,1996,Nominee,Alias Grace,Margaret Atwood
Booker,Fiction,1996,Nominee,Reading in the Dark,Seamus Deane
Booker,Fiction,1996,Nominee,The Orchard on Fire,Shena Mackay
Booker,Fiction,1995,Nominee,The Moor's Last Sigh,Salman Rushdie
Booker,Fiction,1995,Nominee,The Riders,Tim Winton
Booker,Fiction,1995,Nominee,In Every Face I Meet,Justin Cartwright
Booker,Fiction,1994,Nominee,The Folding Star,Alan Hollinghurst
Booker,Fiction,1994,Nominee,Beside the Ocean of Time,George Mackay Brown
Booker,Fiction,1994,Nominee,Paradise,Abdulrazak Gurnah
Booker,Fiction,1994,Nominee,Reef,Romesh Gunesekera
Booker,Fiction,1993,Nominee,Remembering Babylon,David Malouf
Booker,Fiction,1993,Nominee,Crossing the River,Caryl Phillips
Booker,Fiction,1993,Nominee,Scar Tissue,Michael Ignatieff
Booker,Fiction,1992,Nominee,The Butcher Boy,Patrick McCabe
Booker,Fiction,1992,Nominee,Serenity House,Christopher Hope
Booker,Fiction,1992,Nominee,Daughters of the House,Michèle Roberts
Booker,Fiction,1991,Nominee,Such a Long Journey,Rohinton Mistry
Booker,Fiction,1991,Nominee,The Van,Roddy Doyle
Booker,Fiction,1991,Nominee,The Redundancy of Courage,Timothy Mo
Booker,Fiction,1991,Nominee,Time's Arrow,Martin Amis
Booker,Fiction,1991,Nominee,Reading Turgenev,William Trevor
Booker,Fiction,1990,Nominee,An Awfully Big Adventure,Beryl Bainbridge
Booker,Fiction,1990,Nominee,The Gate of Angels,Penelope Fitzgerald
Booker,Fiction,1989,Nominee,A Disaffection,James Kelman
Booker,Fiction,1989,Nominee,Cat's Eye,Margaret Atwood
Booker,Fiction,1989,Nominee,Jigsaw,Sybille Bedford
Booker,Fiction,1988,Nominee,The Satanic Verses,Salman Rushdie
Booker,Fiction,1988,Nominee,Utz,Bruce Chatwin
Booker,Fiction,1988,Nominee,The Lost Father,Marina Warner
Booker,Fiction,1988,Nominee,The Beginning of Spring,Penelope Fitzgerald
Booker,Fiction,1987,Nominee,Anthills of the Savannah,Chinua Achebe
Booker,Fiction,1987,Nominee,Chatterton,Peter Ackroyd
Booker,Fiction,1987,Nominee,Circles of Deceit,Nina Bawden
Booker,Fiction,1986,Nominee,The Handmaid's Tale,Margaret Atwood
Booker,Fiction,1986,Nominee,An Insular Possession,Timothy Mo
Booker,Fiction,1986,Nominee,What's Bred in the Bone,Robertson Davies
Booker,Fiction,1986,Nominee,Gabriel's Lament,Paul Bailey
Booker,Fiction,1985,Nominee,The Good Apprentice,Iris Murdoch
Booker,Fiction,1985,Nominee,The Battle of Pollocks Crossing,J. L. Carr
Booker,Fiction,1985,Nominee,Illywhacker,Peter Carey
Booker,Fiction,1985,Nominee,Last Letters from Hav,Jan Morris
Booker,Fiction,1984,Nominee,Flaubert's Parrot,Julian Barnes
Booker,Fiction,1984,Nominee,According to Mark,Penelope Lively
Booker,Fiction,1983,Nominee,Waterland,Graham Swift
Booker,Fiction,1983,Nominee,Flying to Nowhere,John Fuller
